  Operator non-availability periods., 4OR
  An Open Platform for Full Body Interactive Sonification Exergames., EAI Endorsed Trans. Serious Games
  The GENI Experiment Engine., EAI Endorsed Trans. Ubiquitous Environ.
  Integration and Management of Multiple Radios in Satellite-Terrestrial based Aeronautical Communication Networks., EAI Endorsed Trans. Ubiquitous Environ.
  Activation Force-based Air Pollution Observation Station Clustering., EAI Endorsed Trans. Wirel. Spectr.
  A Cross-Domain Optimization Scheme for MANET Communications in Heterogeneous Networks., EAI Endorsed Trans. Wirel. Spectr.
  The Implementation of A Dependency Matrix-based QoS Diagnosis Support in SOA Middleware., EAI Endorsed Trans. e Bus.
  The PoSE Project the Potential of Technological Learning for Postural Education in Schoolchildren., EAI Endorsed Trans. e Learn.
  Advancing a NeuroIS research agenda with four areas of societal contributions., EJIS
  BTÖV - Eine Methode für die bedarfsgerechte Gestaltung von Telekooperation in der öffentlichen Verwaltung., EMISA Forum
  Enhancing disease surveillance with novel data streams challenges and opportunities., EPJ Data Sci.
  Towards Streamlined Big Data Analytics., ERCIM News
  Principles of Distributed Object Database Languages., ETH Zurich, Department of Computer Science / Technical Report
  A MIMO-OFDM Testbed for Wireless Local Area Networks., EURASIP J. Adv. Signal Process.
  A Low-Cost Time-Hopping Impulse Radio System for High Data Rate Transmission., EURASIP J. Adv. Signal Process.
  Albayzín-2014 evaluation audio segmentation and classification in broadcast news domains., EURASIP J. Audio Speech Music. Process.
  From Microscopy Data to in silico Environments for in vivo Oriented Simulations., EURASIP J. Bioinform. Syst. Biol.
  An Evaluation of Dynamic Partial Reconfiguration for Signal and Image Processing in Professional Electronics Applications., EURASIP J. Embed. Syst.
  Quantitative comparison of motion history image variants for video-based depression assessment., EURASIP J. Image Video Process.
  Towards constructive approach to end-to-end slice isolation in 5G networks., EURASIP J. Inf. Secur.
  Keystroke biometrics in the encrypted domain a first study on search suggestion functions of web search engines., EURASIP J. Inf. Secur.
  Smart radio environments empowered by reconfigurable AI meta-surfaces an idea whose time has come., EURASIP J. Wirel. Commun. Netw.
  Road network emergency accessibility planning after a major earthquake., EURO J. Comput. Optim.
  Optimization of a city logistics transportation system with mixed passengers and goods., EURO J. Transp. Logist.
  A disruption management system for automotive inbound networks concepts and challenges., EURO J. Transp. Logist.
  Tackling a VRP challenge to redistribute scarce equipment within time windows using metaheuristic algorithms., EURO J. Transp. Logist.
  Assessing the impact of urban off-hour delivery program using city scale simulation models., EURO J. Transp. Logist.
  GRIDA3 - a shared resources manager for environmental data analysis and applications., Earth Sci. Informatics
  The Bari Manifesto An interoperability framework for essential biodiversity variables., Ecol. Informatics
  The Mixed Methods Appraisal Tool (MMAT) version 2018 for information professionals and researchers., Educ. Inf.
  Artificial intelligence moving serious gaming Presenting reusable game AI components., Educ. Inf. Technol.
  Wavelet-based Segmentation for Fetal Ultrasound Texture Images., Egypt. Comput. Sci. J.
  Downsizing Data Management for Embedded Systems., Egypt. Comput. Sci. J.
  Beating the random assignment on constraint satisfaction problems of bounded degree., Electron. Colloquium Comput. Complex.
  Business process management with the user requirements notation., Electron. Commer. Res.
  An extended Bass Model on consumer quantity of B2C commerce platforms., Electron. Commer. Res.
  The RBAC model and implementation architecture in multi-domain environment., Electron. Commer. Res.
  Building an operational product ontology system., Electron. Commer. Res. Appl.
  Security Evaluation and Hardening of Free and Open Source Software (FOSS)., Electron. Commun. Eur. Assoc. Softw. Sci. Technol.
  The need for a digital rights management framework for the next generation of e-government services., Electron. Gov. an Int. J.
  Analogies between the Crossing Number and the Tangle Crossing Number., Electron. J. Comb.
  A graph theoretical analysis of the number of edges in k-dense graphs., Electron. J. Graph Theory Appl.
  On topological integer additive set-labeling of star graphs., Electron. J. Graph Theory Appl.
  On d-antimagic labelings of plane graphs., Electron. J. Graph Theory Appl.
  Building an integrated enhanced virtual research environment metadata catalogue., Electron. Libr.
  Towards customer-induced service orchestration - requirements for the next step of customer orientation., Electron. Mark.
  Enabling individualized recommendations and dynamic pricing of value-added services through willingness-to-pay data., Electron. Mark.
  World-Wide Web The Information Universe., Electron. Netw. Res. Appl. Policy
  EEG time series learning and classification using a hybrid forecasting model calibrated with GVNS., Electron. Notes Discret. Math.
  Credo Methodology Modeling and Analyzing A Peer-to-Peer System in Credo., Electron. Notes Theor. Comput. Sci.
  Journal Publishing with Acrobat the CAJUN Project., Electron. Publ.
  Representations of Dialogue State for Domain and Task Independent Meta-Dialogue., Electron. Trans. Artif. Intell.
  Programmierungs- und gerätechnische Realisierung einer 4 x 4-Matrix für Koordinatentransformationen auf Computer-Bildschirmgeräten., Elektron. Rechenanlagen
  Ein Verfahren zur synchronen, Code-unabhängigen Datenübertragung., Elektron. Rechenanlagen
  Entwurf und Realisation des schnellen, flexiblen und fehlertoleranten Polyprozessors "Heidelberger POLYP"., Elektron. Rechenanlagen
  Zur Wartungsfreundlichkeit von Programmen., Elektron. Rechenanlagen
  An integrated pan-European research infrastructure for validating smart grid systems., Elektrotech. Informationstechnik
  Naming the pain in requirements engineering - Contemporary problems, causes, and effects in practice., Empir. Softw. Eng.
  Robotic intelligence and computational creativity., Encycl. Semantic Comput. Robotic Intell.
  Semantic summarization of web news., Encycl. Semantic Comput. Robotic Intell.
  A cognitive robotic ecology approach to self-configuring and evolving AAL systems., Eng. Appl. Artif. Intell.
  From landscapes to waterscapes A PSE for landuse change analysis., Eng. Comput.
  Developing a hybrid adoptive neuro-fuzzy inference system in predicting safety of factors of slopes subjected to surface eco-protection techniques., Eng. Comput.
  An intelligent based-model role to simulate the factor of safe slope by support vector regression., Eng. Comput.
  Maxwell - a 64 FPGA Supercomputer., Eng. Lett.
  Cloud manufacturing a new manufacturing paradigm., Enterp. Inf. Syst.
  On defining a model driven architecture for an enterprise e-health system., Enterp. Inf. Syst.
  Management of Service-oriented Architecture (SoA)-based Application Systems., Enterp. Model. Inf. Syst. Archit. Int. J. Concept. Model.
  Construction of Productivity Models - A Tool-Supported Approach in the Area of Facility Management., Enterp. Model. Inf. Syst. Archit. Int. J. Concept. Model.
  Schoolchildren's user experiences on a physical exercise game utilizing lighting and audio., Entertain. Comput.
  Test of the Pauli Exclusion Principle in the VIP-2 Underground Experiment., Entropy
  Multi-wheat-model ensemble responses to interannual climate variability., Environ. Model. Softw.
  Advancing the ethical use of digital data in human research challenges and strategies to promote ethical practice., Ethics Inf. Technol.
  Ramsey-nice families of graphs., Eur. J. Comb.
  Hybrid Control of Networked Embedded Systems., Eur. J. Control
  Memorandum on design-oriented information systems research., Eur. J. Inf. Syst.
  CORMAS A Computerized Tool for the Analysis of Eyewitness Memory Correspondence., Eur. J. Law Technol.
  A study to define the international guidelines of ethics concerning electronic medical data., Eur. J. Law Technol.
  iPads in Legal Learning (iLEGALL) mobile devices in professional legal learning., Eur. J. Law Technol.
  Forty years of the European Journal of Operational Research A bibliometric overview., Eur. J. Oper. Res.
  Diamond project Video-on-demand system, and trials., Eur. Trans. Telecommun.
  Hybrid Self-Adaptive Evolution Strategies Guided by Neighborhood Structures for Combinatorial Optimization Problems., Evol. Comput.
  Imbalanced data classification algorithm with support vector machine kernel extensions., Evol. Intell.
  Performance evaluation of support vector machine and convolutional neural network algorithms in real-time vehicle type and color classification., Evol. Intell.
  General controllability and observability tests for Takagi-Sugeno fuzzy systems., Evol. Syst.
  Extended Torelli Map to the Igusa Blowup in Genus 6, 7, and 8., Exp. Math.
  Digital Elevation Model generation for historical landscape analysis based on LiDAR data, a case study in Flanders (Belgium)., Expert Syst. Appl.
  A geometric and fractional entropy-based method for family photo classification., Expert Syst. Appl. X
  A multi-institutional, multinational study of programming concepts using card sort data., Expert Syst. J. Knowl. Eng.
  Virtual Information in Data-Base Systems., FDT Bull. ACM SIGFIDET SIGMOD
  Handling Norms in Multi-agent Systems by Means of Formal Argumentation., FLAP
  Correction note for 'The large-maturity smile for the Heston model'., Finance Stochastics
  From the bird's eye to the microscope A survey of new stylized facts of the intra-daily foreign exchange markets., Finance Stochastics
  Blocking sets of the classical unital., Finite Fields Their Appl.
  The International Children's Digital Library Description and analysis of first use., First Monday
  Building a push-button RESOLVE verifier Progress and challenges., Formal Aspects Comput.
  Correction to A survey of challenges for runtime verification from advanced application domains (beyond software)., Formal Methods Syst. Des.
  A survey of challenges for runtime verification from advanced application domains (beyond software)., Formal Methods Syst. Des.
  Simple-Named Complex-Valued Nominative Data - Definition and Basic Operations., Formaliz. Math.
  Several Integrability Formulas of Some Functions, Orthogonal Polynomials and Norm Functions., Formaliz. Math.
  Cell Petri Net Concepts., Formaliz. Math.
  Gaussian Integers., Formaliz. Math.
  Several Integrability Formulas of Special Functions. Part II., Formaliz. Math.
  Conservation Rules of Direct Sum Decomposition of Groups., Formaliz. Math.
  Complex Function Differentiability., Formaliz. Math.
  Some Operations on Quaternion Numbers., Formaliz. Math.
  Definition and Properties of Direct Sum Decomposition of Groups1., Formaliz. Math.
  Rank of Submodule, Linear Transformations and Linearly Independent Subsets of Z-module., Formaliz. Math.
  General Theory of Quasi-Commutative BCI-algebras., Formaliz. Math.
  Partial Differentiation, Differentiation and Continuity on n-Dimensional Real Normed Linear Spaces., Formaliz. Math.
  Torsion Z-module and Torsion-free Z-module., Formaliz. Math.
  Isomorphisms of Direct Products of Cyclic Groups of Prime Power Order., Formaliz. Math.
  Complex Integral., Formaliz. Math.
  Basic Properties of Periodic Functions., Formaliz. Math.
  The Cauchy-Riemann Differential Equations of Complex Functions., Formaliz. Math.
  Differentiable Functions into Real Normed Spaces., Formaliz. Math.
  Operations of Points on Elliptic Curve in Projective Coordinates., Formaliz. Math.
  Partial Differentiation of Vector-Valued Functions on n-Dimensional Real Normed Linear Spaces., Formaliz. Math.
  The Real Vector Spaces of Finite Sequences are Finite Dimensional., Formaliz. Math.
  Equivalent Expressions of Direct Sum Decomposition of Groups1., Formaliz. Math.
  Convergence Analysis of Spatially Adaptive Rothe Methods., Found. Comput. Math.
  Cooperative Wireless Cellular Systems An Information-Theoretic View., Found. Trends Commun. Inf. Theory
  Computational Studies of Human Motion Part 1, Tracking and Motion Synthesis., Found. Trends Comput. Graph. Vis.
  Camera Models and Fundamental Concepts Used in Geometric Computer Vision., Found. Trends Comput. Graph. Vis.
  Principles of Appearance Acquisition and Representation., Found. Trends Comput. Graph. Vis.
  Modeling and Simulation of Skeletal Muscle for Computer Graphics A Survey., Found. Trends Comput. Graph. Vis.
  Main Memory Database Systems., Found. Trends Databases
  Contracts for System Design., Found. Trends Electron. Des. Autom.
  Human-Computer Interaction and International Public Policymaking A Framework for Understanding and Taking Future Actions., Found. Trends Hum. Comput. Interact.
  Geographic Information Retrieval Progress and Challenges in Spatial Search of Text., Found. Trends Inf. Retr.
  Information Retrieval on the Blogosphere., Found. Trends Inf. Retr.
  Expertise Retrieval., Found. Trends Inf. Retr.
  A Review of Personality in Human-Robot Interactions., Found. Trends Inf. Syst.
  Tensor Networks for Dimensionality Reduction and Large-scale Optimization Part 2 Applications and Future Perspectives., Found. Trends Mach. Learn.
  Youth Unemployment and Vocational Training., Found. Trends Microeconomics
  Network and Protocol Architectures for Future Satellite Systems., Found. Trends Netw.
  Multi-Period Trading via Convex Optimization., Found. Trends Optim.
  Methods for Location Privacy A comparative overview., Found. Trends Priv. Secur.
  Behavioral Types in Programming Languages., Found. Trends Program. Lang.
  An Algorithmic Perspective on Imitation Learning., Found. Trends Robotics
  Modeling, Control, State Estimation and Path Planning Methods for Autonomous Multirotor Aerial Robots., Found. Trends Robotics
  A Survey on the Low-Dimensional-Model-based Electromagnetic Imaging., Found. Trends Signal Process.
  Solving Free-boundary Problems with Applications in Finance., Found. Trends Stoch. Syst.
  Operator Splitting Methods in Control., Found. Trends Syst. Control.
  RFID and the Internet of Things Technology, Applications, and Security Challenges., Found. Trends Technol. Inf. Oper. Manag.
  Quantum Hamiltonian Complexity., Found. Trends Theor. Comput. Sci.
  Health Web Science., Found. Trends Web Sci.
  Predicting Biomass and Yield in a Tomato Phenotyping Experiment Using UAV Imagery and Random Forest., Frontiers Artif. Intell.
  The ADC API A Web API for the Programmatic Query of the AIRR Data Commons., Frontiers Big Data
  Toward Patient-Centered Stewardship of Research Data and Research Participant Recruitment With Blockchain Technology., Frontiers Blockchain
  Physical principles for scalable neural recording., Frontiers Comput. Neurosci.
  Innovative Parkinson's Disease Patients' Motor Skills Assessment The i-PROGNOSIS Paradigm., Frontiers Comput. Sci.
  TH-1 China's first petaflop supercomputer., Frontiers Comput. Sci. China
  HTRDP evaluations on Chinese information processing and intelligent human-machine interface., Frontiers Comput. Sci. China
  Digital Technology to Deliver a Lifestyle-Integrated Exercise Intervention in Young Seniors - The PreventIT Feasibility Randomized Controlled Trial., Frontiers Digit. Health
  Big Data as a Driver for Clinical Decision Support Systems A Learning Health Systems Perspective., Frontiers Digit. Humanit.
  Toward a Neurobiological Basis for Understanding Learning in University Modeling Instruction Physics Courses., Frontiers ICT
  Towards human-like and transhuman perception in AI 2.0 a review., Frontiers Inf. Technol. Electron. Eng.
  Attention shifting during child - robot interaction a preliminary clinical study for children with autism spectrum disorder., Frontiers Inf. Technol. Electron. Eng.
  Advances in deep ultraviolet laser based high-resolution photoemission spectroscopy., Frontiers Inf. Technol. Electron. Eng.
  An Empirical Comparison of Meta- and Mega-Analysis With Data From the ENIGMA Obsessive-Compulsive Disorder Working Group., Frontiers Neuroinformatics
  Connecting Artificial Brains to Robots in a Comprehensive Simulation Framework The Neurorobotics Platform., Frontiers Neurorobotics
  OpenVIVO Transparency in Scholarship., Frontiers Res. Metrics Anal.
  An Overview on Principles for Energy Efficient Robot Locomotion., Frontiers Robotics AI
  The Ethics of Realism in Virtual and Augmented Reality., Frontiers Virtual Real.
  Extending the Relational Algebra for Relations with Maybe Tuples and Existential and Universal Null Values., Fundam. Inform.
  The Well-Founded Semantics Coincides with the Three-Valued Stable Semantics., Fundam. Inform.
  Approaches to Distributed Execution of Scientific Workflows in Kepler., Fundam. Informaticae
  The global lambda visualization facility An international ultra-high-definition wide-area visualization collaboratory., Future Gener. Comput. Syst.
  5G Cross-Border Operation for Connected and Automated Mobility Challenges and Solutions., Future Internet
  A linguistic multi-criteria group decision support system for fabric hand evaluation., Fuzzy Optim. Decis. Mak.
  An uncertain chromatic number of an uncertain graph based on α-cut coloring., Fuzzy Optim. Decis. Mak.
  Ignorance functions. An application to the calculation of the threshold in prostate ultrasound images., Fuzzy Sets Syst.
  Hybridization of intelligent techniques and ARIMA models for time series prediction., Fuzzy Sets Syst.
  Arbeiten auf dem Gebiet objektorientierter Datenbanken im "Institut für Datenbanken und Software Engineering (IDSE)" am Wissenschaftlichen Zentrum Heidelberg (WZH) der IBM., GI Datenbank Rundbrief
  Towards a Transaction Management System for DOM., GTE Laboratories Incorporated
  Object Data Model Facilities for Multimedia Data Types., GTE Laboratories Incorporated
  Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype., GTE Laboratories Incorporated
  Dynamic Lighting for Tension in Games., Game Stud.
  Is Your Privacy for Sale? An Experiment on the Willingness to Reveal Sensitive Information., Games
  The Berkeley Memorial., Games Econ. Behav.
  The 2007 IEEE CEC simulated car racing competition., Genet. Program. Evolvable Mach.
  Precision Medicine What Challenges Are We Facing?, Genom. Proteom. Bioinform.
  GSA Genome Sequence Archive*., Genom. Proteom. Bioinform.
  Geospatial Service Web towards integrated cyberinfrastructure for GIScience., Geo spatial Inf. Sci.
  Using agent-based modelling to simulate social-ecological systems across scales., GeoInformatica
  Predicting Symptom Trajectories of Schizophrenia Using Mobile Sensing., GetMobile Mob. Comput. Commun.
  Frequency and length of syllables in Serbian., Glottometrics
  Context Specificity of Lemma. Diachronic Analysis., Glottometrics
  A longitudinal study of state government homepage accessibility in Maryland and the role of web page templates for improving accessibility., Gov. Inf. Q.
  e-GRIDS Computationally Efficient Gramatical Inference from Positive Examples., Grammars
  An evaluation of canonical forms for non-rigid 3D shape retrieval., Graph. Model.
  On Surface Approximation Using Developable Surfaces., Graph. Model. Image Process.
  User-Steered Image Segmentation Paradigms Live Wire and Live Lane., Graph. Model. Image Process.
  (4, 2)-Choosability of Planar Graphs with Forbidden Structures., Graphs Comb.
  Grey modeling for thermal spray processing parameter analysis., Grey Syst. Theory Appl.
  Applying GRA to analyze influencing factors of patients' financial burden., Grey Syst. Theory Appl.
  Superior grey relational analysis on blood lipids and hematological parameters., Grey Syst. Theory Appl.
  Algebraic properties of generalized Rijndael-like ciphers., Groups Complex. Cryptol.
  Interaktive, digitale Einkaufserlebnisse in Innenstädten., HMD Prax. Wirtsch.
  A platform for leveraging next generation sequencing for routine microbiology and public health use., Health Inf. Sci. Syst.
  Design and implementation of Metta, a metasearch engine for biomedical literature retrieval intended for systematic reviewers., Health Inf. Sci. Syst.
  High performance computing enabling exhaustive analysis of higher order single nucleotide polymorphism interaction in Genome Wide Association Studies., Health Inf. Sci. Syst.
  Impact of a scribe program on patient throughput, physician productivity, and patient satisfaction in a community-based emergency department., Health Informatics J.
  Revised Report on the Algorithmic Language Scheme., High. Order Symb. Comput.
  A Structured Method for the Recognition of Complex Historical Tables., Hist. Comput.
  The smell of us - crowdsourcing human body odor evaluation., Hum. Comput.
  Torino A Tangible Programming Language Inclusive of Children with Visual Disabilities., Hum. Comput. Interact.
  Human Factors-Focused Reporting System for Improving Care Quality and Safety in Hospital Wards., Hum. Factors
  Implementation of searchable symmetric encryption for privacy-preserving keyword search on cloud storage., Hum. centric Comput. Inf. Sci.
  Analysis of projected hydrological behavior of catchments based on signature indices, Hydrology and Earth System Sciences
  Hypermedia use by the disadvantaged Assessing a health information program., Hypermedia
  Breaking ECC2K-130., IACR Cryptol. ePrint Arch.
  Investigating Profiled Side-Channel Attacks Against the DES Key Schedule., IACR Trans. Cryptogr. Hardw. Embed. Syst.
  Spook Sponge-Based Leakage-Resistant Authenticated Encryption with a Masked Tweakable Block Cipher., IACR Trans. Symmetric Cryptol.
  Information technology for healthcare transformation., IBM J. Res. Dev.
  Blue Gene A vision for protein science using a petaflop supercomputer., IBM Syst. J.
  Formulating software engineering as a search problem., IEE Proc. Softw.
  Formal methods into practice case studies in the application of the B method., IEE Proc. Softw. Eng.
  Speech Technology for Unwritten Languages., IEEE ACM Trans. Audio Speech Lang. Process.
  Multi-Site Meta-Analysis of Morphometry., IEEE ACM Trans. Comput. Biol. Bioinform.
  Evaluating Indoor Positioning Systems in a Shopping Mall The Lessons Learned From the IPIN 2018 Competition., IEEE Access
  Discussion The Burroughs B 5000 in Retrospect., IEEE Ann. Hist. Comput.
  Analysis of autopilot disengagements occurring during autonomous vehicle testing., IEEE CAA J. Autom. Sinica
  Social energy mining energy from the society., IEEE CAA J. Autom. Sinica
  The Next Grand Challenges Integrating the Internet of Things and Data Science., IEEE Cloud Comput.
  Time-Spectrum Consecutiveness Based Scheduling With Advance Reservation in Elastic Optical Networks., IEEE Commun. Lett.
  CAMP A New Bitmap Index for Data Retrieval in Traffic Archival., IEEE Commun. Lett.
  Transmitter development for cellular integrated circuits., IEEE Commun. Mag.
  Standards News., IEEE Commun. Stand. Mag.
  Standards News., IEEE Commun. Stand. Mag.
  Dynamic Resource Provisioning for Energy Efficiency in Wireless Access Networks A Survey and an Outlook., IEEE Commun. Surv. Tutorials
  Priority-Based PCIe Scheduling for Multi-Tenant Multi-GPU Systems., IEEE Comput. Archit. Lett.
  Multimodal Fuzzy Fusion for Enhancing the Motor-Imagery-Based Brain Computer Interface., IEEE Comput. Intell. Mag.
  ExoMars Rover PanCam Autonomous & Computational Intelligence [Application Notes]., IEEE Comput. Intell. Mag.
  Building and Using A Scalable Display Wall System., IEEE Computer Graphics and Applications
  Wisconsin Wind Tunnel II a fast, portable parallel architecture simulator., IEEE Concurr.
  Software engineering for parallel and distributed systems., IEEE Concurrency
  Toward an ICT-Based Service Oriented Health Care Paradigm., IEEE Consumer Electron. Mag.
  Guest Editorial Introduction to the Special Issue of the IEEE L-CSS on Learning and Control., IEEE Control. Syst. Lett.
  Decentralized Privacy-Preserving Proximity Tracing., IEEE Data Eng. Bull.
  R* A Research Project on Distributed Relational DBMS., IEEE Database Eng. Bull.
  The Swarm at the Edge of the Cloud., IEEE Des. Test
  Turbo1500 Core-Based Design for Test and Diagnosis., IEEE Des. Test Comput.
  Urban Computing and Mobile Devices., IEEE Distributed Syst. Online
  Sensor Signal Processing Using High-Level Synthesis With a Layered Architecture., IEEE Embed. Syst. Lett.
  Mining Geophysical Data for Knowledge., IEEE Expert
  Building a Speech Interface to a Medical Diagnostic System., IEEE Expert
  Design and Validation of a Multimode Multifrequency VHF/UHF Airborne Radar., IEEE Geosci. Remote. Sens. Lett.
  STEM education in Flanders Literacy and a positive attitude towards STEM., IEEE Instrum. Meas. Mag.
  Process Mining for Trauma Resuscitation., IEEE Intell. Informatics Bull.
  Extreme Learning Machines., IEEE Intell. Syst.
  Making Bertha Drive - An Autonomous Journey on a Historic Route., IEEE Intell. Transp. Syst. Mag.
  Research Directions for Service-Oriented Multiagent Systems., IEEE Internet Comput.
  FactDAG Formalizing Data Interoperability in an Internet of Production., IEEE Internet Things J.
  Deep Learning for RF Fingerprinting A Massive Experimental Study., IEEE Internet Things Mag.
  Statistical Shape Modeling of the Left Ventricle Myocardial Infarct Classification Challenge., IEEE J. Biomed. Health Informatics
  Low-Power Computer Vision Status, Challenges, and Opportunities., IEEE J. Emerg. Sel. Topics Circuits Syst.
  Telerobotics Display, control, and communication problems., IEEE J. Robotics Autom.
  The MONET New Jersey network demonstration., IEEE J. Sel. Areas Commun.
  Downstream Services for Rice Crop Monitoring in Europe From Regional to Local Scale., IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.
  Grounded Sequence to Sequence Transduction., IEEE J. Sel. Top. Signal Process.
  A 1.33-Tb 4-Bit/Cell 3-D Flash Memory on a 96-Word-Line-Layer Technology., IEEE J. Solid State Circuits
  Serving DNNs in Real Time at Datacenter Scale with Project Brainwave., IEEE Micro
  Open Innovation in the Big Data Era With the MOVING Platform., IEEE Multim.
  All-optical packet/circuit switching-based data center network for enhanced scalability, latency, and throughput., IEEE Netw.
  Reconfigurable Intelligent Surfaces vs. Relaying Differences, Similarities, and Performance Comparison., IEEE Open J. Commun. Soc.
  Requirements for DataParallel Programming Environments., IEEE Parallel Distributed Technol. Syst. Appl.
  Intelligent Transportation Systems., IEEE Pervasive Comput.
  Temporal Muscle Synergy Features Estimate Effects of Short-Term Rehabilitation in Sit-to-Stand of Post-Stroke Patients., IEEE Robotics Autom. Lett.
  Swarmanoid A Novel Concept for the Study of Heterogeneous Robotic Swarms., IEEE Robotics Autom. Mag.
  Project-Based Learning Inspires Cybersecurity Students A Scholarship-for-Service Research Study., IEEE Secur. Priv.
  An algorithm for optimal partitioning of data on an interval., IEEE Signal Process. Lett.
  Undergraduate Students Compete in the IEEE Signal Processing Cup Part 2 [sp Education]., IEEE Signal Process. Mag.
  Requirements Engineering (RE) for Social Good RE Cares [Requirements]., IEEE Softw.
  Expanded Multiband Super-Nyquist CAP Modulation for Highly Bandlimited Organic Visible Light Communications., IEEE Syst. J.
  Interactive Extreme Scale Analytics Towards Battling Cancer., IEEE Technol. Soc. Mag.
  Artificial Cognition in Production Systems., IEEE Trans Autom. Sci. Eng.
  Architectural strategies for an application-specific synchronous multiprocessor environment., IEEE Trans. Acoust. Speech Signal Process.
  Spectral Analysis of EEG During Microsleep Events Annotated via Driver Monitoring System to Characterize Drowsiness., IEEE Trans. Aerosp. Electron. Syst.
  The Automatic Detection of Chronic Pain-Related Expression Requirements, Challenges and the Multimodal EmoPain Dataset., IEEE Trans. Affect. Comput.
  L1-Adaptive Control Stability, Robustness, and Interpretations., IEEE Trans. Autom. Control.
  Homography-Based Visual Servo Control With Imperfect Camera Calibration., IEEE Trans. Autom. Control.
  Supporting Heterogeneity in Cyber-Physical Systems Architectures., IEEE Trans. Autom. Control.
  Shaping the Energy of Mechanical Systems Without Solving Partial Differential Equations., IEEE Trans. Autom. Control.
  Towards a Platform-Independent Cooperative Human Robot Interaction System III An Architecture for Learning and Executing Actions and Shared Plans., IEEE Trans. Auton. Ment. Dev.
  The Coordinating Role of Language in Real-Time Multimodal Learning of Cooperative Tasks., IEEE Trans. Auton. Ment. Dev.
  Integration of Action and Language Knowledge A Roadmap for Developmental Robotics., IEEE Trans. Auton. Ment. Dev.
  Optical Compressive Imaging Technologies for Space Big Data., IEEE Trans. Big Data
  A Fast and Accurate System for Face Detection, Identification, and Verification., IEEE Trans. Biom. Behav. Identity Sci.
  A Fully Integrated Nose-on-a-Chip for Rapid Diagnosis of Ventilator-Associated Pneumonia., IEEE Trans. Biomed. Circuits Syst.
  Toward Community Standards and Software for Whole-Cell Modeling., IEEE Trans. Biomed. Eng.
  Enable Advanced QoS-Aware Network Slicing in 5G Networks for Slice-Based Media Use Cases., IEEE Trans. Broadcast.
  Delivering Scalable Audio Experiences using AC-4., IEEE Trans. Broadcast.
  A 5-13.5 Gb/s Multistandard Receiver With High Jitter Tolerance Digital CDR in 40-nm CMOS Process., IEEE Trans. Circuits Syst.
  CMOS 256-Pixel/480-Pixel Photovoltaic-Powered Subretinal Prosthetic Chips With Wide Image Dynamic Range and Bi/Four-Directional Sharing Electrodes and Their Ex Vivo Experimental Validations With Mice., IEEE Trans. Circuits Syst.
  A Self-Timed Voltage-Mode Sensing Scheme With Successive Sensing and Checking for STT-MRAM., IEEE Trans. Circuits Syst. I Fundam. Theory Appl.
  A Low-Cost Audio Computer for Information Dissemination Among Illiterate People Groups., IEEE Trans. Circuits Syst. I Regul. Pap.
  Adaptive Body Bias Aware Implementation for Ultra-Low-Voltage Designs in 22FDX Technology., IEEE Trans. Circuits Syst. II Express Briefs
  Introduction of New Associate Editors., IEEE Trans. Circuits Syst. Video Technol.
  On Achieving Energy Efficiency and Reducing CO2 Footprint in Cloud Computing., IEEE Trans. Cloud Comput.
  Scalable pCT Image Reconstruction Delivered as a Cloud Service., IEEE Trans. Cloud Comput.
  Regulatory Pilot on Licensed Shared Access in a Live LTE-TDD Network in IMT Band 40., IEEE Trans. Cogn. Commun. Netw.
  DAC-h3 A Proactive Robot Cognitive Architecture to Acquire and Express Knowledge About the World and the Self., IEEE Trans. Cogn. Dev. Syst.
  A Two-Channel Picture Coding System I-Real-Time Implementation., IEEE Trans. Commun.
  TrueNorth Design and Tool Flow of a 65 mW 1 Million Neuron Programmable Neurosynaptic Chip., IEEE Trans. Comput. Aided Des. Integr. Circuits Syst.
  The 2010 Mario AI Championship Level Generation Track., IEEE Trans. Comput. Intell. AI Games
  The 2009 Simulated Car Racing Championship., IEEE Trans. Comput. Intell. AI Games
  Cyber-Physical-Social Systems The State of the Art and Perspectives., IEEE Trans. Comput. Soc. Syst.
  Accurate Multi-Material Decomposition in Dual-Energy CT A Phantom Study., IEEE Trans. Computational Imaging
  Design and Analysis of 3D-MAPS (3D Massively Parallel Processor with Stacked Memory)., IEEE Trans. Computers
  Video Multimethod Assessment Fusion (VMAF) on 360VR Contents., IEEE Trans. Consumer Electron.
  Parallel In-Loop Filtering in HEVC Encoder on GPU., IEEE Trans. Consumer Electron.
  Phase noise analysis of double-heterodyne TV tuner system for 8VSB digital terrestrial broadcasting., IEEE Trans. Consumer Electron.
  g-RAT | A Novel Graphical Randomized Authentication Technique for Consumer Smart Devices., IEEE Trans. Consumer Electron.
  New set-top box for interactive visual communication of home entertainment using MPEG-2 full-duplex CODEC LSI., IEEE Trans. Consumer Electron.
  Frequency offset estimation for OFDM in wireless communications., IEEE Trans. Consumer Electron.
  Robust Event-Triggered Dynamic Average Consensus Against Communication Link Failures With Application to Battery Control., IEEE Trans. Control. Netw. Syst.
  On Identification of Distribution Grids., IEEE Trans. Control. Netw. Syst.
  Leveraging Generators With Complementary Capabilities for Robust Multistage Power Grid Operations., IEEE Trans. Control. Netw. Syst.
